Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
12;33;Del Giro;77398220-1;MercadoLibre Chile LTDA;7686973;01/04/2025;01/04/2025 12:23:07;01/04/2025 12:51:57;0;67160;12760;;;79920;;;;;0;;;;0;;;;
13;33;Del Giro;78290890-1;REPUESTOS AUTOMOTRICES LTDA;638466;01/04/2025;01/04/2025 12:52:24;01/04/2025 13:40:19;0;4380;832;;;5212;;;;;0;;;;0;;;;
14;33;Del Giro;79675070-7;RODRIGUEZ E HIJOS LTDA;642322;01/04/2025;01/04/2025 17:56:00;;0;189244;35956;;;225200;;;;;0;;;;0;;;;
15;33;Del Giro;77317967-0;SOCIEDAD COMERCIAL LARRAIN POSECK SPA;620;02/04/2025;02/04/2025 15:20:27;02/04/2025 15:28:13;0;71000;13490;;;84490;;;;;0;;;;0;;;;
16;33;Del Giro;77020553-0;COMERCIALIZADORA DE PRODUCTOS Y SERVICIOS INDUSTRIALES SERPROIND LIMITADA;11729;02/04/2025;02/04/2025 17:01:18;;0;110924;21076;;;132000;;;;;0;;;;0;;;;
17;33;Del Giro;13964232-5;MAGALY DEL CARMEN ROJAS CORTES;20001;02/04/2025;02/04/2025 18:28:24;;0;88176;16754;;;104930;;;;;0;;;;0;;;;
18;33;Del Giro;78513190-8;EDUARDO GAMBOA Y ANDERSSON LIMITADA;939584;03/04/2025;03/04/2025 10:26:39;;0;53692;10201;;;90949;;;;27056;0;;;;0;35;27056;0;
19;33;Del Giro;96711590-8;Manantial S.A;6155835;31/03/2025;03/04/2025 13:26:56;04/04/2025 11:19:17;0;27390;5204;;;32594;;;;;0;;;;0;;;;
20;33;Del Giro;76609875-4;AHUMADA MILLAN Y AGUILERA SERVICIOS LIMITADA;2637;03/04/2025;03/04/2025 14:13:36;04/04/2025 11:19:17;0;90000;17100;;;107100;;;;;0;;;;0;;;;
21;33;Del Giro;89396900-4;DISTRIBUIDORA TECNICA ELECTRICA VITEL S.A.;1246417;03/04/2025;03/04/2025 14:58:27;04/04/2025 11:19:17;0;77474;14720;;;92194;;;;;0;;;;0;;;;
22;33;Del Giro;76671160-K;SOCIEDAD COM RODRIGUEZ Y LEIVA LTDA;695373;03/04/2025;03/04/2025 16:44:15;;0;50245;9547;;;69000;;;;;0;;;;0;28;9208;0;
23;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49817;03/04/2025;03/04/2025 17:19:00;04/04/2025 11:19:18;0;126192;23976;;;150168;;;;;0;;;;0;;;;
24;33;Del Giro;85277700-1;SOC LOMUSCIO HERMANOS LIMITADA;30130;03/04/2025;03/04/2025 17:21:10;;0;73808;14024;;;87832;;;;;0;;;;0;;;;
25;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49818;03/04/2025;03/04/2025 17:21:42;04/04/2025 11:19:17;0;660930;125577;;;786507;;;;;0;;;;0;;;;
26;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49819;03/04/2025;03/04/2025 17:21:42;04/04/2025 11:19:18;0;386901;73511;;;460412;;;;;0;;;;0;;;;
27;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49827;04/04/2025;04/04/2025 12:04:29;07/04/2025 13:15:19;0;48691;9251;;;57942;;;;;0;;;;0;;;;
28;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49828;04/04/2025;04/04/2025 12:07:07;07/04/2025 13:15:20;0;676478;128531;;;805009;;;;;0;;;;0;;;;
29;33;Del Giro;77882735-2;MAQUINARIA Y TRANSPORTES FRANCISCO JAVIER JERIA REYES E.I.R.L.;111;04/04/2025;04/04/2025 13:14:42;07/04/2025 13:15:19;0;300000;57000;;;357000;;;;;0;;;;0;;;;
30;33;Del Giro;97004000-5;Banco de Chile;43270063;21/03/2025;04/04/2025 20:06:25;;0;9391;1784;;;11175;;;;;0;;;;0;;;;
31;33;Del Giro;77816397-7;JJ ENERGY SPA;48;02/04/2025;05/04/2025 15:06:42;;0;26857;5103;;;31960;;;;;0;;;;0;;;;
32;33;Del Giro;79675070-7;RODRIGUEZ E HIJOS LTDA;642505;07/04/2025;07/04/2025 17:48:36;;0;154622;29378;;;184000;;;;;0;;;;0;;;;
33;33;Del Giro;9551768-4;GABRIELA DE LAS MERCEDES ACEVEDO PINO;50680;08/04/2025;08/04/2025 08:54:02;;0;6723;1277;;;8000;;;;;0;;;;0;;;;
34;33;Del Giro;6036315-3;JUANA NATIVIDAD MENDOZA DIAZ;8770;08/04/2025;08/04/2025 09:34:48;;0;5034;956;;;5990;;;;;0;;;;0;;;;
35;33;Del Giro;76210543-8;COMERCIAL SEGPER LIMITADA;17431;08/04/2025;08/04/2025 09:38:28;;0;101630;19310;;;120940;;;;;0;;;;0;;;;
36;33;Del Giro;77400776-8;H2OXIGAS MULTISERVICIOS SPA;8341;08/04/2025;08/04/2025 10:59:52;;0;63866;12134;;;76000;;;;;0;;;;0;;;;
37;33;Del Giro;77975504-5;TOPCOLOR SPA;289;08/04/2025;08/04/2025 11:16:28;;0;11346;2156;;;13502;;;;;0;;;;0;;;;
38;33;Del Giro;96815130-4;TRUCK TRAILER PARTS S.A.;317482;08/04/2025;08/04/2025 11:57:39;;0;187732;35669;;;223401;;;;;0;;;;0;;;;
39;33;Del Giro;9593813-2;CLARA TERESA VASQUEZ QUIROZ;11571;09/04/2025;09/04/2025 12:01:14;;0;47060;8941;;;56001;;;;;0;;;;0;;;;
40;33;Del Giro;15102956-6;FRANKLIN HUMBERTO ORTEGA HERNANDEZ;1456;09/04/2025;09/04/2025 14:53:50;10/04/2025 10:28:13;0;45000;8550;;;53550;;;;;0;;;;0;;;;
41;33;Del Giro;78701740-1;Wurth Chile Ltda.;2111456;09/04/2025;09/04/2025 15:38:49;10/04/2025 10:28:13;0;14340;2725;;;17065;;;;;0;;;;0;;;;
42;33;Del Giro;78701740-1;Wurth Chile Ltda.;2111465;09/04/2025;09/04/2025 15:42:41;10/04/2025 10:28:12;0;30305;5758;;;36063;;;;;0;;;;0;;;;
43;33;Del Giro;76061338-K;BODEGAJE LOGISTICA Y DISTRIBUCION FERNANDEZ OSSA LTDA;463623;09/04/2025;09/04/2025 15:51:33;;0;44861;8523;;;76061;;;;22677;0;;;;0;35;22677;0;
44;33;Del Giro;76710380-8;REPUESTOS AUTOMOTRICES K  M LTDA;7228;09/04/2025;09/04/2025 17:28:15;;0;302521;57479;;;360000;;;;;0;;;;0;;;;
45;33;Del Giro;77315064-8;FLEXIMEC SPA;472;10/04/2025;10/04/2025 09:21:12;10/04/2025 10:28:12;0;90860;17263;;;108123;;;;;0;;;;0;;;;
46;33;Del Giro;77315064-8;FLEXIMEC SPA;473;10/04/2025;10/04/2025 11:49:13;11/04/2025 11:10:27;0;525955;99931;;;625886;;;;;0;;;;0;;;;
47;33;Del Giro;76805475-4;CONFECCIONES ANDRES CACERES BRAVO E.I.R.L.;20582;10/04/2025;10/04/2025 15:10:33;11/04/2025 11:10:27;0;49900;9481;;;59381;;;;;0;;;;0;;;;
48;33;Del Giro;77961916-8;INGOA SPA;1005;10/04/2025;10/04/2025 16:12:20;;0;13412;2548;;;15960;;;;;0;;;;0;;;;
49;33;Del Giro;79675070-7;RODRIGUEZ E HIJOS LTDA;642754;10/04/2025;10/04/2025 17:45:11;;0;164706;31294;;;196000;;;;;0;;;;0;;;;
50;33;Del Giro;96875230-8;RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.;2111362;10/04/2025;11/04/2025 07:57:10;11/04/2025 11:10:27;41293;609;115;;;42017;;;;;0;;;;0;;;;
51;33;Del Giro;76192846-5;COMERCIAL ANVIDCAR LIMITADA;2734;11/04/2025;11/04/2025 17:45:18;;0;320000;60800;;;380800;;;;;0;;;;0;;;;
52;33;Del Giro;76061338-K;BODEGAJE LOGISTICA Y DISTRIBUCION FERNANDEZ OSSA LTDA;464281;14/04/2025;14/04/2025 10:40:40;;0;58224;11063;;;94422;;;;25135;0;;;;0;35;25135;0;
53;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49914;14/04/2025;14/04/2025 15:35:04;15/04/2025 15:12:14;0;373445;70955;;;444400;;;;;0;;;;0;;;;
54;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49915;14/04/2025;14/04/2025 15:35:04;15/04/2025 15:12:14;0;771627;146609;;;918236;;;;;0;;;;0;;;;
55;33;Del Giro;76671160-K;SOCIEDAD COM RODRIGUEZ Y LEIVA LTDA;697109;15/04/2025;15/04/2025 09:20:44;;0;52262;9930;;;69363;;;;;0;;;;0;28;7171;0;
56;33;Del Giro;76528114-8;Ibañez E Hijos Limitada;49921;15/04/2025;15/04/2025 10:08:03;;0;19310;3669;;;22979;;;;;0;;;;0;;;;
57;33;Del Giro;76330268-7;SOCIEDAD FREDY MORALES LIMITADA;77700;15/04/2025;15/04/2025 10:31:44;;0;9680;1839;;;11519;;;;;0;;;;0;;;;
58;33;Del Giro;9050842-3;ERICH PATRICIO MORALES FRANCHI;7473;15/04/2025;15/04/2025 10:35:22;15/04/2025 15:12:14;0;29878;5677;;;35555;;;;;0;;;;0;;;;
59;33;Del Giro;77975504-5;TOPCOLOR SPA;309;15/04/2025;15/04/2025 11:07:46;;0;13446;2555;;;16001;;;;;0;;;;0;;;;
60;33;Del Giro;78912510-4;RS GROUP LIMITADA;311849;15/04/2025;15/04/2025 11:59:30;15/04/2025 15:12:14;0;36150;6869;;;43019;;;;;0;;;;0;;;;
61;33;Del Giro;78912510-4;RS GROUP LIMITADA;311862;15/04/2025;15/04/2025 11:59:30;15/04/2025 15:12:14;0;216555;41145;;;257700;;;;;0;;;;0;;;;
62;33;Del Giro;76967108-0;AUDITORA Y CONSULTORA TYT SPA;309;15/04/2025;15/04/2025 12:07:42;15/04/2025 15:12:14;0;400000;76000;;;476000;;;;;0;;;;0;;;;
63;33;Del Giro;76967108-0;AUDITORA Y CONSULTORA TYT SPA;310;15/04/2025;15/04/2025 12:15:09;15/04/2025 15:12:14;0;2800000;532000;;;3332000;;;;;0;;;;0;;;;
64;33;Del Giro;77032903-5;COMERCIAL MATI-GOMAS LIMITADA;9656;16/04/2025;16/04/2025 10:30:09;;0;41765;7935;;;49700;;;;;0;;;;0;;;;
65;33;Del Giro;77382206-9;REPUESTOS RENCAR SPA;4587;16/04/2025;16/04/2025 10:53:13;16/04/2025 13:36:21;0;13109;2491;;;15600;;;;;0;;;;0;;;;
66;33;Del Giro;76528114-8;Ibañez E Hijos Limitada;49983;16/04/2025;16/04/2025 11:24:03;;0;9142;1737;;;10879;;;;;0;;;;0;;;;
67;33;Del Giro;96806110-0;DARTEL S.A.;4140251;16/04/2025;16/04/2025 11:45:13;;0;79459;15097;;;94556;;;;;0;;;;0;;;;
68;33;Del Giro;96896480-1;SONEPAR CHILE SA;1504556;16/04/2025;16/04/2025 12:06:03;;0;58034;11026;;;69060;;;;;0;;;;0;;;;
69;33;Del Giro;96896480-1;SONEPAR CHILE SA;1504557;16/04/2025;16/04/2025 12:07:00;;0;20735;3940;;;24675;;;;;0;;;;0;;;;
70;33;Del Giro;77382206-9;REPUESTOS RENCAR SPA;4588;16/04/2025;16/04/2025 12:15:16;16/04/2025 13:36:21;0;28488;5413;;;33901;;;;;0;;;;0;;;;
71;33;Del Giro;78286980-9;DYFAR LIMITADA;203195;16/04/2025;16/04/2025 12:29:45;;0;9300;1767;;;11067;;;;;0;;;;0;;;;
72;33;Del Giro;8101541-4;MARGARITA DE LOURDES GUTIERREZ PALMA;20;16/04/2025;16/04/2025 22:56:15;;0;58620;11138;;;69758;;;;;0;;;;0;;;;
73;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49961;21/04/2025;21/04/2025 11:08:46;22/04/2025 11:57:24;0;969746;184252;;;1153998;;;;;0;;;;0;;;;
74;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49962;21/04/2025;21/04/2025 11:08:46;22/04/2025 11:57:24;0;1475808;280404;;;1756212;;;;;0;;;;0;;;;
75;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49963;21/04/2025;21/04/2025 11:10:53;22/04/2025 11:57:24;0;206770;39286;;;246056;;;;;0;;;;0;;;;
76;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;49964;21/04/2025;21/04/2025 11:17:26;22/04/2025 11:57:24;0;69563;13217;;;82780;;;;;0;;;;0;;;;
77;33;Del Giro;76528114-8;Ibañez E Hijos Limitada;50068;21/04/2025;21/04/2025 15:40:10;;0;21160;4020;;;25180;;;;;0;;;;0;;;;
78;33;Del Giro;76061338-K;BODEGAJE LOGISTICA Y DISTRIBUCION FERNANDEZ OSSA LTDA;465151;21/04/2025;21/04/2025 17:04:59;;0;52839;10040;;;85982;;;;23103;0;;;;0;35;23103;0;
79;33;Del Giro;76528114-8;Ibañez E Hijos Limitada;50121;23/04/2025;23/04/2025 10:20:07;;0;42092;7997;;;50089;;;;;0;;;;0;;;;
80;33;Del Giro;77133169-6;COMERCIAL PVP LIMITADA;8258;23/04/2025;23/04/2025 10:46:13;;0;29410;5588;;;34998;;;;;0;;;;0;;;;
81;33;Del Giro;78290890-1;REPUESTOS AUTOMOTRICES LTDA;639877;23/04/2025;23/04/2025 11:11:10;23/04/2025 11:41:59;0;6270;1191;;;7461;;;;;0;;;;0;;;;
82;33;Del Giro;77444919-1;FERRETERIA INDUSTRIAL MV SPA;5785;23/04/2025;23/04/2025 11:36:22;;0;6437;1223;;;7660;;;;;0;;;;0;;;;
83;33;Del Giro;96815130-4;TRUCK TRAILER PARTS S.A.;318543;23/04/2025;23/04/2025 11:52:34;;0;187732;35669;;;223401;;;;;0;;;;0;;;;
84;33;Del Giro;76046809-6;DAP DUCASSE DISE?O LTDA.;1559144;23/04/2025;23/04/2025 12:53:07;;0;17865;3394;;;21259;;;;;0;;;;0;;;;
85;33;Del Giro;93441000-9;Ducasse Comercial Ltda.;1720325;23/04/2025;23/04/2025 12:56:38;;0;79268;15061;;;94329;;;;;0;;;;0;;;;
86;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;50006;23/04/2025;23/04/2025 13:35:51;23/04/2025 15:33:57;0;2646919;502915;;;3149834;;;;;0;;;;0;;;;
87;33;Del Giro;15102956-6;FRANKLIN HUMBERTO ORTEGA HERNANDEZ;1470;23/04/2025;23/04/2025 14:22:22;23/04/2025 15:33:57;0;200000;38000;;;238000;;;;;0;;;;0;;;;
88;33;Del Giro;78131420-K;INGENIERIA DESIMAT LIMITADA;441343;24/04/2025;24/04/2025 16:04:53;;0;60800;11552;;;72352;;;;;0;;;;0;;;;
89;33;Del Giro;76715050-4;COMERCIAL RENGO LUBRICANTES S.A.;55453;24/04/2025;24/04/2025 16:06:26;;0;112200;21318;;;133518;;;;;0;;;;0;;;;
90;33;Del Giro;76528114-8;Ibañez E Hijos Limitada;50201;25/04/2025;25/04/2025 09:34:02;;0;8219;1562;;;9781;;;;;0;;;;0;;;;
91;33;Del Giro;85277700-1;SOC LOMUSCIO HERMANOS LIMITADA;30322;25/04/2025;25/04/2025 09:46:12;;0;147664;28056;;;175720;;;;;0;;;;0;;;;
92;33;Del Giro;77444919-1;FERRETERIA INDUSTRIAL MV SPA;5802;25/04/2025;25/04/2025 10:15:22;;0;35533;6751;;;42284;;;;;0;;;;0;;;;
93;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;78062242;25/04/2025;25/04/2025 12:03:41;29/04/2025 12:56:50;0;44832;8518;;;53350;;;;;0;;;;0;;;;
94;33;Del Giro;77867024-0;MAESTRANZA NUEVA ERCILLA SPA;230;25/04/2025;25/04/2025 13:49:58;29/04/2025 12:56:50;0;2040000;387600;;;2427600;;;;;0;;;;0;;;;
95;33;Del Giro;76671160-K;SOCIEDAD COM RODRIGUEZ Y LEIVA LTDA;698789;26/04/2025;26/04/2025 11:27:01;;0;39126;7434;;;67009;;;;20449;0;;;;0;35;20449;0;
96;33;Del Giro;78701740-1;Wurth Chile Ltda.;2122958;26/04/2025;26/04/2025 12:10:05;29/04/2025 12:56:50;0;151725;28828;;;180553;;;;;0;;;;0;;;;
97;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;50102;28/04/2025;28/04/2025 10:05:46;29/04/2025 12:56:50;0;234384;44533;;;278917;;;;;0;;;;0;;;;
98;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;50103;28/04/2025;28/04/2025 10:09:22;29/04/2025 12:56:49;0;298830;56778;;;355608;;;;;0;;;;0;;;;
99;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;50104;28/04/2025;28/04/2025 10:20:06;29/04/2025 12:56:50;0;502056;95391;;;597447;;;;;0;;;;0;;;;
100;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;50105;28/04/2025;28/04/2025 10:22:39;29/04/2025 12:56:50;0;277472;52720;;;330192;;;;;0;;;;0;;;;
101;33;Del Giro;76000937-7;NORMET CHILE LIMITADA;50106;28/04/2025;28/04/2025 10:22:39;29/04/2025 12:56:49;0;76768;14586;;;91354;;;;;0;;;;0;;;;
102;33;Del Giro;78701740-1;Wurth Chile Ltda.;2125030;29/04/2025;29/04/2025 16:07:06;30/04/2025 13:00:00;0;179980;34196;;;214176;;;;;0;;;;0;;;;
103;33;Del Giro;76671160-K;SOCIEDAD COM RODRIGUEZ Y LEIVA LTDA;699226;29/04/2025;29/04/2025 18:37:03;;0;48082;9135;;;67056;;;;;0;;;;0;28;9839;0;
104;33;Del Giro;78701740-1;Wurth Chile Ltda.;2125221;30/04/2025;30/04/2025 07:47:04;30/04/2025 12:59:59;0;196625;37359;;;233984;;;;;0;;;;0;;;;
105;33;Del Giro;78912510-4;RS GROUP LIMITADA;312045;30/04/2025;30/04/2025 11:26:43;30/04/2025 12:59:59;0;265705;50484;;;316189;;;;;0;;;;0;;;;
106;33;Del Giro;78912510-4;RS GROUP LIMITADA;312058;30/04/2025;30/04/2025 11:26:43;30/04/2025 12:59:59;0;241290;45845;;;287135;;;;;0;;;;0;;;;
107;34;Del Giro;96820630-3;SOCIEDAD CONCESIONARIA AUTOPISTA DEL ACONCAGUA S.A.;4324124;12/03/2025;28/03/2025 00:24:51;02/04/2025 15:27:06;5413;0;0;;;5413;;;;;0;;;;0;;;;
108;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;17364358;24/04/2025;25/04/2025 04:42:54;29/04/2025 12:57:01;36464;0;0;;;36464;;;;;0;;;;0;;;;
109;34;Del Giro;96992030-1;Sociedad Concesionaria Vespucio Norte Express S.A.;7590431;26/04/2025;28/04/2025 04:47:07;29/04/2025 12:57:01;5877;0;0;;;5877;;;;;0;;;;0;;;;
110;61;Del Giro;96815130-4;TRUCK TRAILER PARTS S.A.;20560;23/04/2025;23/04/2025 11:47:36;;0;187732;35669;;;223401;;;;;0;;;;0;;;;
